"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10454140","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0"
"10459394","5","2","6","4","0","0","1","0","0","0","1","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","2","1","1","2","1","0","0","0","0","1","2","2"
"10459395","4","2","2","4","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","1","2"
"10468363","3","0","1","2","0","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","0","2","0","1"
"10468630","4","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","1","1","0","0","3","3","0","0","0","0","0","0","1","1"
"10471847","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","2","1","0","1","0","0","0","1","0","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0"
"10471848","0","0","1","1","0","0","0","1","0","0","1","0","0","3","2","2","0","2","3","0","0","1","0","0","0","0","0","1","0","2","1","2","2","0","0","1","1","0","0","0","0"
"10480271","1","0","0","0","0","0","1","1","0","0","0","0","0","0","2","1","0","0","1","0","1","0","1","0","1","0","0","0","4","4","2","1","2","0","0","0","1","0","1","1","0"
"10482257","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"10482774","4","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","3","6","5","0","0","0","0","0","0","0","0"
"10489865","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","1","0","3","2","0","0","0","0","0","0","0","1"
"10493894","0","0","0","1","0","1","1","2","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"10493901","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"10493903","3","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","1","0","0","0","0","0"
"10496688","3","2","3","5","0","1","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2"
"10501805","0","0","1","1","0","0","0","0","0","0","1","0","1","1","1","1","1","3","1","0","0","1","0","0","1","0","1","0","2","0","1","0","2","0","2","0","0","1","0","0","1"
"10506099","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0"
"10509837","5","0","1","0","0","0","0","1","1","0","0","0","0","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","2","2","4","5","0","0","1","0","0","1","1","0"
"10511450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","2","0","0","0","0","0","0"
"10515983","1","1","2","0","0","0","0","0","0","0","1","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10516320","1","0","3","1","0","2","1","3","2","1","2","1","0","1","0","0","0","0","0","0","0","2","2","0","1","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10518175","5","1","5","3","0","2","1","2","2","1","1","2","0","0","1","1","1","1","1","0","0","1","0","0","1","1","2","1","0","3","1","2","1","0","0","0","0","0","2","1","1"
"10522888","2","1","2","3","0","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","1","1","1","0","2","2","2","3","1","1","2","0","3","1","0","0","0","0","0","0","1"
"10523407","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1"
"10531451","0","0","2","0","0","0","0","2","0","0","1","0","0","3","0","0","0","0","0","0","1","0","1","0","1","0","1","0","3","0","0","0","1","0","0","1","0","0","1","0","1"
"10545400","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"10547332","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","0","0","0","1"
