"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10430955","1","0","0","1","0","0","1","0","1","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","2","1","0","2","0","0","2","2","0","0","1","5"
"10432182","2","0","5","4","1","0","0","1","0","0","3","0","1","4","5","5","1","2","1","0","3","0","2","0","4","1","3","2","6","7","2","1","0","0","2","2","7","2","2","1","2"
"10450253","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","1","1","1","0","1","0","1","0","2","2","4"
"10454140","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","1","0","1","1","0","1","0"
"10459394","11","6","12","9","1","1","1","1","0","3","2","3","2","1","1","0","0","1","0","0","0","0","0","0","1","1","1","1","3","6","4","2","5","1","0","0","1","0","7","5","7"
"10459395","9","3","9","10","2","0","0","0","0","2","1","0","0","1","2","1","1","1","1","1","1","3","1","1","0","0","1","3","2","4","3","2","4","1","1","0","1","1","6","3","8"
"10468363","7","0","7","8","1","1","1","1","1","1","1","0","0","4","4","3","0","2","1","0","1","1","2","0","1","1","1","3","1","4","2","1","3","0","1","0","2","1","5","1","4"
"10468630","7","2","7","6","4","0","0","0","0","2","1","0","0","1","2","2","2","2","1","1","1","3","1","1","0","0","0","2","3","2","1","3","4","0","0","1","0","0","2","1","5"
"10471847","1","1","3","3","1","1","1","1","0","1","2","1","0","2","6","6","0","4","9","0","2","0","1","0","2","0","0","0","2","4","5","5","9","0","3","2","3","1","0","0","1"
"10471848","2","1","3","3","1","1","0","2","1","1","2","1","0","3","10","10","0","4","17","0","1","1","1","0","1","0","0","1","3","5","9","8","10","0","1","4","1","0","0","1","1"
"10480271","1","0","0","0","0","0","1","1","0","0","0","0","0","1","2","1","0","0","1","0","1","0","1","0","1","1","0","0","4","7","2","1","2","0","0","0","4","0","2","1","1"
"10482257","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","2","1","1","2","0","0","0","1","0","2","0","0"
"10482774","7","1","6","6","2","0","0","1","0","2","2","0","0","3","1","3","0","3","5","0","2","0","2","0","1","0","0","1","3","8","8","10","11","0","1","0","4","1","3","2","3"
"10489865","0","0","4","3","1","0","0","1","0","0","1","0","0","2","3","5","2","1","6","0","0","0","1","0","1","1","1","2","2","2","2","5","5","0","1","0","0","0","0","1","2"
"10493894","0","0","0","1","0","1","1","2","1","0","0","0","1","1","0","0","0","1","3","1","2","0","0","0","1","1","0","1","2","0","1","1","1","0","0","1","1","0","0","0","2"
"10493901","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","2","0","1","1","0","0","1"
"10493903","5","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","2","1","1","0","1","0","2","1","2","1","1","0","1"
"10496688","7","3","7","11","1","1","0","1","0","4","1","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","1","2","1","4","2","0","2","0","1","0","0","0","6","3","7"
"10501805","1","1","5","8","2","0","1","0","0","0","1","1","1","1","5","4","1","11","4","0","2","1","0","0","4","2","3","1","9","2","2","2","3","0","3","1","1","2","1","0","1"
"10506099","1","1","1","0","0","0","0","0","0","0","1","0","2","1","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","1","2","1","0"
