"PMID","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"10600415","0","6","1","2","1","1","1","2","0","1","2","0","1","1","0","1","0","2","0","0","2","1","0","3","1","0","0","2","3","0","0","0","5","3","4","1","0","0","0","0","8"
"10600999","0","2","1","0","2","0","1","0","3","0","0","1","0","0","1","2","1","1","0","0","0","2","10","4","3","0","0","3","1","0","0","0","0","3","1","2","0","1","9","0","13"
"10601675","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3"
"10601743","0","1","1","2","2","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","2","0","0","3","1","0","0","0","1","9","1","0","0","0","0","0","9"
"10617288","0","0","1","1","0","0","1","0","0","1","0","0","0","0","4","1","2","1","0","0","4","0","1","2","0","0","2","6","1","0","0","0","0","5","0","1","0","0","1","5","5"
"10619415","0","2","1","3","0","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","2","1","1","3","0","0","0","1","1","0","0","0","3","1","2","1","0","0","0","0","7"
"10619416","0","3","1","3","0","0","0","1","1","1","2","1","1","1","1","1","0","0","0","0","2","0","7","2","0","0","0","2","2","2","1","0","1","4","1","1","0","1","4","0","5"
"10624956","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","1","1","1","0","1","0","1","1","0","0","0","0","6"
"10632617","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","8","0","0","0","0","2","1","0","0","0","1","5","1","6","0","0","5","0","7"
"10634893","0","2","2","2","0","2","1","1","0","0","6","0","1","0","0","0","0","0","0","1","6","0","0","1","0","0","0","1","0","1","0","0","1","2","0","0","0","0","0","0","4"
"10634894","0","2","0","0","0","0","0","1","0","1","1","2","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","3"
"10643726","0","1","3","0","0","0","2","0","2","1","4","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","2","1","0","1","4"
"10643727","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","1","1","0","2","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","2"
"10643729","0","11","0","0","4","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","1","2","3","0","0","0","3","1","0","0","1","0","1","0","0","0","0","1","0","7"
"10648437","0","0","1","1","0","0","3","1","0","1","0","0","0","0","0","0","0","2","0","0","0","1","2","1","2","0","0","1","4","0","1","0","1","8","1","2","0","0","1","0","3"
"10648446","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","4"
"10659849","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","2","0","0","0","0","1","5","0","3","0","0","1","0","2"
"10666552","0","5","2","0","0","0","2","1","1","1","1","0","2","0","0","0","0","0","0","0","1","0","3","1","0","0","0","1","0","0","0","0","3","2","2","2","0","0","1","0","8"
"10666559","0","5","2","0","0","0","2","1","1","1","1","0","2","0","0","0","0","0","0","0","1","0","3","1","0","0","0","1","0","0","0","0","3","2","2","2","0","0","1","0","8"
"10666562","0","1","0","0","3","1","1","0","0","0","1","0","0","5","0","0","0","0","0","0","2","0","0","5","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2"
"10669519","0","2","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","2","1","1","0","0","0","8","0","0","0","0","0","0","4"
"10677559","0","0","0","0","5","0","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","1"
"10678698","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","2","1","0","1","1","0","0","1","2","0","1","0","0","4","0","0","0","0","0","0","4"
"10679185","0","2","0","5","1","2","1","0","0","0","5","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","4"
"10679187","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","1","0","0","4","0","3","1","0","0","1","5","2","0","0","0","0","5","0","2","0","0","1","4","3"
"10680763","0","5","0","0","2","0","1","1","0","0","2","0","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0","5","7","0","0","0","1","12","1","0","0","0","0","0","8"
"10680764","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","3","0","1","1","0","0","0","0","3"
"10680766","1","2","6","0","2","0","1","1","2","1","2","2","1","0","8","0","1","0","1","1","3","0","3","1","0","0","1","3","0","0","1","0","3","1","2","10","0","7","3","2","6"
"10683393","0","8","0","0","1","1","1","1","1","0","2","0","0","0","0","1","1","1","0","0","5","1","6","2","1","0","0","3","1","0","0","0","2","10","2","1","0","0","4","0","8"
